공감누르면 7편때 애인이랑 볼수잇음  ,0
톰 크루즈가 30년째 톱스타인 이유  ,0
인랑 따위랑 비교가안돼  ,0
시사회에서 봤는데 난 이쯤되면 톰 크루즈의 한계는 진짜 어디까진지 궁금하다.  ,0
탐 크루즈가 고생하는거보니 막판엔 눈물 나올라했음. 영화비 8천원에 이렇게 보는게 미안할정도. 나 나이 먹는거보다 탐 크루즈가 나이먹는게 더 싫음. 미션임파서블 오래오래 보고싶어서. 분명 미션 클리어할거 아는데도 심장 쫄깃해지는 최고의 영화~~~~  ,0
박평식형님이 7점줬다 믿고보자  ,0
이영화는 진짜다. 아무리 평점을 깍아내리려고해도 인간인 이상 양심을 속여 깍아내릴 수는없다. 만약 깍아내린다면 그건 진짜 싸이코패스다.  ,0
"미션임파서블 앞 시리즈 하나도 안봤는데 이해할수있나요? ㅠ ㅠ 보는걸추천하면 공감, 앞 시리즈 모르면 반대 비공감 해주세요.. ㅠㅠ  ",0
야 니들 이런 헐리웃대작과 한국영화가 같은 관람료인게 정상이라고 생각하냐? 한국영화는 그냥 4000원이 적당하다.  ,0
이영화가 인랑보다 괜객이 적으면 말이되나  ,0
아니 도대체 이 형님은 못하는게 뭐야~ 암벽등반은 기본이고 하다하다 헬기조종씬까지ㅋ 시원시원하이 최고였음~ 만수무강하시고 칠순까지 미션10 갑시다!!!ㅋ  ,0
헬기 조정도 직접하고 초반에 프랑스 상공 위에서 떨어지는 장면도 직접 했다네요. 대스타 이름값 합니다. 영화를 보시면 탐크루즈가 존경스럽기까지 합니다.  ,1
시사회로 봤다. 무더위에 시원시원한 액션보고 싶으면 최고라고 생각한다.  ,0
CG가 판치는 영화계에 이 얼마나 신선한 아날로그적인 액션인가.늙어가는 톰 크루즈 보다 임파서블 씨리즈를 못 할까봐 걱정이 된다.  ,0
이 시리즈에서 만큼은 영화가 감독의 예술이 아니다.  ,0
시리즈의 최고작이다.  ,0
"최고의 액션, 노 스턴트, 시원하고 짜릿하다. 월타 gv로 봤고 강추합니다  ",0
역시 이 영화는 끝날때까지 끝난게 아니죠.  ,0
음악만으로도 설렌다...빰빰 빰빠 빰빠  빰빰빠~~~~♡♡♡♡  ,0
올해 본 영화중 최고네요  ,1
톰형의 시원한 액션 정말 맘에들고 강추합니다평점 짜게 주기로 유명한 평식이형이 7점이나 준 이유가 다 있네요  ,0
형... 미안한데 7편도 내줘야겠어요  ,0
방금보고나왔는데 아 대박 진짜 역대급 말이 안나온다 이건 극장에서 안보면 미친거다  ,0
헨리형 dc에서 애먹다가 이쪽에서오니 보기좋네♡  ,0
역시 톰크루즈다.말해서 뭐하나...  ,1
"현존 시리즈 당연 최고봉! 톰, 헨리 둘 다 너무 멋있었는데, 헨리는 그냥 미쳤다.. 카리스마가 흘러 넘쳐..  ",0
하도 입벌리고 봐서 입이 다 마름  ,0
시리즈중 최고걸작임  액션 스토리 서스펜스 메시지 빠지는거없이 완벽하게만듬 특히 크루즈형 cg없는액션시퀀스압권  ,0
톰형의 한계는 도대체 어디까지인지 궁금하다.  ,0
역대 최강 미션임파서블 시리즈중걸작입니다 인랑보시려면 이걸 보세요!!  ,0
톰 트루즈를 갈아서 만든 영화.  ,0
이게  바로 액션영화지  화장실 격투신 ㄷㄷ  ,0
톰형님 영원히 안늙었으면 좋겠다 ..  ,0
"최고였다. 두시간 반이 시간가는줄 모르고 지나갔음. 액션씬도 멋있었고, 게다가 스턴트/CG없이 맨몸액션이라는게 놀랍고, 광활한 자연을 배경으로 한 액션씬도 대박이었고, 스토리 구성도 좋았음. 배우들의 케미도 좋았고, 하나하나 매력적인 캐릭터들이었고.  ",0
톰형 싸랑해요 지금 보러갑니다  ,0
마지막 장면은 알고도 숨 죽일수 밖에 없다.  ,0
국산영화에서 절대볼수없는 스케일과 CG에 감탄할 따름입니다.  ,1
